config,species,encoder_seed,VERIFIER,USE_TIMEFILTER,USE_HARD_NEG,FEATURE,auc_s1,f1_s1,prec_s1,rec_s1,fa_s1,auc_ver,f1_ver,prec_ver,rec_ver,fa_ver
pcen|logreg,whbsho3,0,logreg,False,False,pcen,0.45253472222222224,0.5674132630654369,0.6505747126436782,0.5041666666666667,72.0,0.6658680555555556,0.6397846732009548,0.8104851839791598,0.5291666666666667,11.25
pcen|logreg,bcnher,0,logreg,False,False,pcen,0.42743055555555554,0.6642621404997643,0.7952574525745257,0.5708333333333333,67.5,0.7653472222222222,0.745555415458328,0.833752357008171,0.6791666666666667,0.0
pcen|logreg,barswa,0,logreg,False,False,pcen,0.5695486111111111,0.6795018162947586,0.7598465473145779,0.6208333333333333,88.5,0.7787152777777777,0.7533975784531751,0.8297491039426523,0.6916666666666667,18.75
pcen|logreg,whbsho3,1,logreg,False,False,pcen,0.45357638888888885,0.5708752610594265,0.5983319432860716,0.5458333333333334,78.0,0.6754513888888889,0.6583206397562833,0.7940687361419069,0.5625,16.5
pcen|logreg,bcnher,1,logreg,False,False,pcen,0.4679513888888889,0.6494447126991791,0.7029478458049887,0.6041666666666667,68.25,0.7943402777777777,0.7445214308733483,0.8094604863221885,0.6916666666666667,0.75
pcen|logreg,barswa,1,logreg,False,False,pcen,0.5964583333333333,0.6771873228998648,0.7767674471470789,0.6041666666666667,48.0,0.7663194444444444,0.7420665563522706,0.7686666666666666,0.7208333333333333,3.0
pcen|logreg,whbsho3,2,logreg,False,False,pcen,0.45145833333333335,0.6004217273954116,0.5929461942257217,0.6083333333333334,165.0,0.6975694444444445,0.6733328431732961,0.8295403837572513,0.5666666666666667,19.5
pcen|logreg,bcnher,2,logreg,False,False,pcen,0.45961805555555557,0.7253905916503031,0.815002152389152,0.6541666666666667,68.25,0.7905902777777778,0.7847483248896878,0.8602335164835164,0.7250000000000001,1.5
pcen|logreg,barswa,2,logreg,False,False,pcen,0.5647569444444445,0.6711219278646664,0.734504132231405,0.625,87.0,0.7436458333333333,0.7395890494482042,0.8093577448416158,0.6833333333333333,2.25
logmel|logreg,whbsho3,0,logreg,False,False,logmel,0.48583333333333334,0.40694183864915573,0.48609625668449197,0.35,56.25,0.6107638888888889,0.45593297395596544,0.7221860767729343,0.3333333333333333,2.25
logmel|logreg,bcnher,0,logreg,False,False,logmel,0.5288541666666666,0.38511326860841427,0.49647639182522907,0.31666666666666665,64.5,0.5754513888888889,0.475652610441767,0.7306763285024154,0.35833333333333334,3.0
logmel|logreg,barswa,0,logreg,False,False,logmel,0.5330555555555556,0.4576502732240437,0.4978287841191067,0.43333333333333335,96.75,0.6288194444444444,0.508107711497542,0.6270744428639166,0.4458333333333333,4.5
pcen|logreg+hn,whbsho3,0,logreg,False,True,pcen,0.4650347222222222,0.4887074562266378,0.5238973897389738,0.4583333333333333,63.75,0.6272569444444445,0.5544041450777202,0.7328767123287672,0.4458333333333333,3.75
pcen|logreg+hn,bcnher,0,logreg,False,True,pcen,0.4675,0.5757165465095833,0.5809337134711332,0.5708333333333333,112.5,0.6948611111111112,0.6820161509844842,0.7982434438396833,0.5958333333333333,17.25
pcen|logreg+hn,barswa,0,logreg,False,True,pcen,0.5677777777777777,0.6003236245954693,0.6769102990033222,0.5416666666666666,137.25,0.705486111111111,0.6975647213690215,0.7960526315789473,0.6208333333333333,15.75
pcen|proto,whbsho3,0,proto,False,False,pcen,0.4528472222222222,0.53897914063251,0.6542824730572887,0.45833333333333337,69.0,0.63625,0.5286652732158854,0.6590909090909092,0.44166666666666665,46.5
pcen|proto,bcnher,0,proto,False,False,pcen,0.44232638888888887,0.7013574660633484,0.7673267326732673,0.6458333333333333,76.5,0.7564930555555556,0.765557939914163,0.8458366854384554,0.7041666666666666,12.0
pcen|proto,barswa,0,proto,False,False,pcen,0.586875,0.6799154071033153,0.7584681110772047,0.6208333333333333,88.5,0.7790972222222222,0.7339860472490884,0.7937546057479734,0.6875,24.75
logmel|logreg+hn,whbsho3,0,logreg,False,True,logmel,0.49670138888888893,0.3655836608180661,0.4995845450768592,0.29166666666666663,61.5,0.639548611111111,0.43986742424242425,0.6378968253968254,0.3375,15.75
logmel|logreg+hn,bcnher,0,logreg,False,True,logmel,0.5247222222222222,0.3610578666528519,0.463479302086897,0.29583333333333334,52.5,0.5911805555555556,0.44038829641782884,0.7540064102564102,0.31666666666666665,0.75
logmel|logreg+hn,barswa,0,logreg,False,True,logmel,0.5857986111111111,0.47844827586206906,0.5278076592082617,0.44166666666666665,120.0,0.7034374999999999,0.5475403817914831,0.7243964174454829,0.4666666666666667,7.5
logmel|proto,whbsho3,0,proto,False,False,logmel,0.4636458333333333,0.3891843971631206,0.484375,0.32916666666666666,53.25,0.5664930555555555,0.3498862591355695,0.43141528625399594,0.29583333333333334,55.5
logmel|proto,bcnher,0,proto,False,False,logmel,0.5142361111111111,0.3913438045375218,0.4680080482897384,0.3416666666666667,71.25,0.5708333333333333,0.467032967032967,0.7459677419354839,0.3416666666666667,4.5
logmel|proto,barswa,0,proto,False,False,logmel,0.5405208333333333,0.43524699599465955,0.4583483591777858,0.41666666666666663,126.0,0.6269097222222222,0.4592963533641499,0.5793859649122808,0.39166666666666666,51.0
pcen|proto+hn,whbsho3,0,proto,False,True,pcen,0.4580208333333333,0.5152548064814038,0.521823667448877,0.525,122.25,0.6077430555555556,0.5143323657474601,0.6002964426877471,0.45,47.25
pcen|proto+hn,bcnher,0,proto,False,True,pcen,0.45010416666666664,0.5958139534883722,0.7144736842105264,0.5125,38.25,0.6801041666666667,0.6608497030607584,0.7830379746835443,0.575,9.0
pcen|proto+hn,barswa,0,proto,False,True,pcen,0.5654166666666667,0.6444788441692466,0.7261904761904762,0.5833333333333334,146.25,0.7129166666666666,0.7046197027561774,0.829734219269103,0.6125,55.5
logmel|proto+hn,whbsho3,0,proto,False,True,logmel,0.4405555555555556,0.3520216153623469,0.3758155719878208,0.3333333333333333,92.25,0.5570833333333334,0.3894736842105263,0.5571428571428572,0.3,33.75
logmel|proto+hn,bcnher,0,proto,False,True,logmel,0.5436458333333334,0.3998678916711704,0.5834613415258576,0.3041666666666667,40.5,0.5936458333333333,0.4535150321309781,0.7105852254557083,0.33333333333333337,6.0
logmel|proto+hn,barswa,0,proto,False,True,logmel,0.565763888888889,0.5110668808901466,0.6051296913490798,0.45000000000000007,99.75,0.6426388888888889,0.5264019039119441,0.6675503711558854,0.475,46.5
