species,decoy_sim,stereotypy,n_recordings,call_dur_s,centroid_hz,n_heldout,auc_s1,auc_ver,gain
barswa,0.3896,0.3388,500,0.0501,4402.9244,495,0.5545,0.7701,0.2156
bcnher,0.4868,0.4619,500,0.0619,2474.7291,495,0.4961,0.75,0.2539
bkwsti,0.5185,0.4093,500,0.0942,2810.1431,495,0.694,0.8278,0.1338
blrwar1,0.3327,0.4168,500,0.1424,3702.9954,495,0.5349,0.6459,0.111
comgre,0.4091,0.5429,500,0.0997,2914.5239,495,0.6867,0.7812,0.0944
comkin1,0.3272,0.421,500,0.0548,4391.6834,495,0.6215,0.8269,0.2054
commoo3,0.4797,0.5133,500,0.0146,3164.9176,495,0.6282,0.7497,0.1215
comsan,0.3248,0.5186,500,0.1383,4584.5824,495,0.6234,0.7204,0.097
eaywag1,0.4525,0.4506,500,0.0493,2854.129,495,0.545,0.7534,0.2084
whbsho3,0.419,0.2676,22,0.1267,3465.9763,17,0.469,0.6804,0.2114
