species,n_shot,strategy,n_heldout,decoy_sim_top1,auc_s1,auc_s1_sd,f1_s1,prec_s1,rec_s1,auc_ver,auc_ver_sd,f1_ver,prec_ver,rec_ver
whbsho3,1,rated,21,0.33640676736831665,0.43041666666666667,0.006481812160876678,0.5875913378504052,0.7702283105022831,0.475,0.5623611111111111,0.0005892556509888032,0.5816998568267604,0.7503030303030302,0.475
bcnher,1,rated,499,0.47258007526397705,0.5029166666666667,0.020231110683948467,0.7208931419457736,0.8686364266888611,0.6166666666666667,0.6913194444444444,0.007562114187689472,0.7308740978348036,0.8585288522511098,0.6375
barswa,1,rated,499,0.22551655769348145,0.5353819444444445,0.013503775335159753,0.5383192111183532,0.6149877672588022,0.4875,0.6713541666666667,0.07900936187008023,0.555111633372503,0.6783216783216783,0.48333333333333334
whbsho3,3,rated,19,0.3833297789096832,0.44142361111111106,0.07508099086348827,0.6328958342478381,0.7243751433157533,0.5625,0.5941319444444444,0.11348081745292439,0.6188249961040986,0.7998955067920586,0.5083333333333333
bcnher,3,rated,497,0.46316906809806824,0.49166666666666664,0.047533289179762336,0.6924319727891157,0.6851666666666667,0.7,0.7414583333333333,0.10105734414457736,0.7478398617511521,0.8203310864393338,0.6875
barswa,3,rated,497,0.3821481466293335,0.5447222222222223,0.014534972724390138,0.6218217667423251,0.7332315133002418,0.5416666666666667,0.7734722222222222,0.003339115355603192,0.6939048423423424,0.7034313725490196,0.6916666666666667
whbsho3,5,rated,17,0.4190371632575989,0.42822916666666666,0.022637237925486005,0.5735675507451848,0.5721862515498002,0.575,0.6431597222222222,0.07125082913206113,0.6393163735343383,0.8286744022503516,0.5208333333333333
bcnher,5,rated,495,0.4867986738681793,0.44645833333333335,0.056372123944594225,0.7168075117370891,0.8586021505376344,0.6166666666666667,0.7709027777777777,0.057354216696242126,0.7848879322833668,0.8652585946163929,0.7208333333333333
barswa,5,rated,495,0.38960886001586914,0.5852777777777778,0.013160042872082984,0.6875874125874126,0.7854545454545454,0.6125,0.7875,0.01787408807999325,0.7457317073170733,0.8354516806722689,0.6791666666666667
whbsho3,10,rated,12,0.4609493017196655,0.45739583333333333,0.032163537616471435,0.5977910977910978,0.6177098150782361,0.5791666666666666,0.7350347222222222,0.03000293356284585,0.6190656645403061,0.6892681908341163,0.5625
bcnher,10,rated,490,0.49448129534721375,0.5127777777777778,0.006481812160876757,0.674316146211571,0.6511291779584463,0.7,0.7288888888888889,0.008445997664172637,0.7477286967418546,0.7971866096866097,0.7041666666666666
barswa,10,rated,490,0.42838144302368164,0.5655902777777777,0.023913958502628428,0.7359112190046818,0.7785547785547786,0.7,0.8096180555555555,0.02096768024768441,0.75113858165257,0.8202639751552796,0.6958333333333333
