species,seed,snr_db,fusion,auc,auc_det,n_tgt_det,n_dec_det,tgt_rate,decoy_rate,ratio,cov_target,cov_decoy,thr
whbsho3,7,9,s1,0.4626388888888889,0.4889719626168224,50,107,0.75,0.8666666666666667,1.1555555555555557,0.8333333333333334,0.8916666666666667,0.16876384615898132
whbsho3,7,9,ver,0.7502777777777778,0.8760747663551401,50,107,0.7166666666666667,0.26666666666666666,0.37209302325581395,0.8333333333333334,0.8916666666666667,0.4908785008644701
whbsho3,7,6,s1,0.4315277777777778,0.4605155482815057,47,104,0.7166666666666667,0.8500000000000001,1.186046511627907,0.7833333333333333,0.8666666666666667,0.16876384615898132
whbsho3,7,6,ver,0.7026388888888889,0.859860883797054,47,104,0.65,0.2916666666666667,0.44871794871794873,0.7833333333333333,0.8666666666666667,0.4908785008644701
whbsho3,7,3,s1,0.4177777777777778,0.5152740341419587,42,106,0.6666666666666666,0.7916666666666667,1.1875000000000002,0.7,0.8833333333333333,0.16876384615898132
whbsho3,7,3,ver,0.6568055555555555,0.9018418688230009,42,106,0.6166666666666667,0.24999999999999997,0.4054054054054053,0.7,0.8833333333333333,0.4908785008644701
whbsho3,7,0,s1,0.4247916666666667,0.46441155743481327,43,99,0.65,0.7333333333333334,1.1282051282051282,0.7166666666666667,0.825,0.16876384615898132
whbsho3,7,0,ver,0.6842361111111112,0.9032182287996241,43,99,0.6333333333333333,0.23333333333333334,0.368421052631579,0.7166666666666667,0.825,0.4908785008644701
whbsho3,7,-3,s1,0.4129861111111111,0.4464014576374127,37,89,0.43333333333333335,0.6083333333333333,1.4038461538461537,0.6166666666666667,0.7416666666666667,0.16876384615898132
whbsho3,7,-3,ver,0.6084027777777777,0.873671424233222,37,89,0.5166666666666667,0.175,0.33870967741935476,0.6166666666666667,0.7416666666666667,0.4908785008644701
whbsho3,7,-6,s1,0.39125,0.4211038961038961,35,88,0.4166666666666667,0.5833333333333333,1.3999999999999997,0.5833333333333334,0.7333333333333333,0.16876384615898132
whbsho3,7,-6,ver,0.5852777777777778,0.8746753246753247,35,88,0.43333333333333335,0.14166666666666666,0.3269230769230769,0.5833333333333334,0.7333333333333333,0.4908785008644701
whbsho3,8,9,s1,0.47888888888888886,0.4149468417761101,41,78,0.6166666666666667,0.5833333333333333,0.9459459459459458,0.6833333333333333,0.65,0.17883935570716858
whbsho3,8,9,ver,0.6508333333333334,0.8020637898686679,41,78,0.5333333333333333,0.25,0.46875,0.6833333333333333,0.65,0.4912748397692572
whbsho3,8,6,s1,0.46597222222222223,0.39184008762322015,44,83,0.5833333333333334,0.5916666666666667,1.0142857142857142,0.7333333333333333,0.6916666666666667,0.17883935570716858
whbsho3,8,6,ver,0.6655555555555556,0.7853231106243155,44,83,0.5666666666666667,0.24166666666666667,0.42647058823529416,0.7333333333333333,0.6916666666666667,0.4912748397692572
whbsho3,8,3,s1,0.426875,0.3711939787889155,37,79,0.45,0.5833333333333333,1.296296296296296,0.6166666666666667,0.6583333333333333,0.17883935570716858
whbsho3,8,3,ver,0.5975694444444445,0.7916524119055764,37,79,0.48333333333333334,0.23333333333333334,0.4827586206896552,0.6166666666666667,0.6583333333333333,0.4912748397692572
whbsho3,8,0,s1,0.41368055555555555,0.35797979797979795,33,75,0.45,0.5499999999999999,1.222222222222222,0.55,0.625,0.17883935570716858
whbsho3,8,0,ver,0.5650694444444444,0.7983838383838384,33,75,0.43333333333333335,0.2,0.46153846153846156,0.55,0.625,0.4912748397692572
whbsho3,8,-3,s1,0.37666666666666665,0.37333333333333335,25,72,0.2833333333333333,0.5083333333333333,1.7941176470588234,0.4166666666666667,0.6,0.17883935570716858
whbsho3,8,-3,ver,0.4890277777777778,0.8227777777777778,25,72,0.35,0.175,0.5,0.4166666666666667,0.6,0.4912748397692572
whbsho3,8,-6,s1,0.3819444444444444,0.41310160427807485,22,68,0.23333333333333334,0.4166666666666667,1.7857142857142858,0.36666666666666664,0.5666666666666667,0.17883935570716858
whbsho3,8,-6,ver,0.46625,0.8188502673796791,22,68,0.31666666666666665,0.18333333333333332,0.5789473684210527,0.36666666666666664,0.5666666666666667,0.4912748397692572
bcnher,7,9,s1,0.4867361111111111,0.4790658882402002,55,109,0.85,0.825,0.9705882352941176,0.9166666666666666,0.9083333333333333,0.35053959488868713
bcnher,7,9,ver,0.7811805555555555,0.8326939115929941,55,109,0.7666666666666667,0.4666666666666666,0.608695652173913,0.9166666666666666,0.9083333333333333,0.4777271325713432
bcnher,7,6,s1,0.4563888888888889,0.4321480406386067,53,104,0.7166666666666667,0.7666666666666666,1.069767441860465,0.8833333333333333,0.8666666666666667,0.35053959488868713
bcnher,7,6,ver,0.7556944444444444,0.8231132075471698,53,104,0.75,0.4916666666666667,0.6555555555555556,0.8833333333333333,0.8666666666666667,0.4777271325713432
bcnher,7,3,s1,0.445,0.4275247524752475,50,101,0.65,0.7916666666666667,1.217948717948718,0.8333333333333334,0.8416666666666667,0.35053959488868713
bcnher,7,3,ver,0.7230555555555556,0.8239603960396039,50,101,0.6833333333333333,0.4583333333333333,0.6707317073170731,0.8333333333333334,0.8416666666666667,0.4777271325713432
bcnher,7,0,s1,0.4465277777777778,0.46278140885984026,51,108,0.6833333333333333,0.7583333333333333,1.1097560975609755,0.85,0.9,0.35053959488868713
bcnher,7,0,ver,0.7568055555555555,0.8683732752360204,51,108,0.7333333333333333,0.4666666666666667,0.6363636363636365,0.85,0.9,0.4777271325713432
bcnher,7,-3,s1,0.4365277777777778,0.4598148148148148,50,108,0.5166666666666667,0.6333333333333333,1.225806451612903,0.8333333333333334,0.9,0.35053959488868713
bcnher,7,-3,ver,0.7545833333333334,0.8838888888888888,50,108,0.75,0.43333333333333335,0.5777777777777778,0.8333333333333334,0.9,0.4777271325713432
bcnher,7,-6,s1,0.4613888888888889,0.43431001890359167,46,92,0.4166666666666667,0.4583333333333333,1.0999999999999999,0.7666666666666667,0.7666666666666667,0.35053959488868713
bcnher,7,-6,ver,0.7309722222222222,0.8929584120982986,46,92,0.6833333333333333,0.3583333333333333,0.5243902439024389,0.7666666666666667,0.7666666666666667,0.4777271325713432
bcnher,8,9,s1,0.43125,0.4318609022556391,56,114,0.85,0.8833333333333333,1.0392156862745099,0.9333333333333333,0.95,0.20712192356586456
