species,n_shot,strategy,n_heldout,decoy_sim_top1,auc_s1,auc_s1_sd,f1_s1,prec_s1,rec_s1,auc_ver,auc_ver_sd,f1_ver,prec_ver,rec_ver
whbsho3,5,first,17,0.4498727321624756,0.4293055555555556,0.02533799299251795,0.6047047047047047,0.6001960784313726,0.6208333333333333,0.5540277777777778,0.016106321127026924,0.6185249886070181,0.6481141522029372,0.5916666666666667
bcnher,5,first,495,0.46540966629981995,0.4482638888888889,0.0035355339059327407,0.6713615023474178,0.7759856630824373,0.5916666666666667,0.6801388888888888,0.06157721552832848,0.7304551992554362,0.815375685943436,0.6625
barswa,5,first,495,0.35851219296455383,0.526875,0.0077585327380190194,0.7163783856261732,0.7121986373165619,0.7291666666666666,0.7759722222222223,0.006481812160876678,0.7915412186379929,0.8663230240549828,0.7291666666666666
whbsho3,5,rated,17,0.4190371632575989,0.44013888888888886,0.03142696805273545,0.5686360534269279,0.5543798306956202,0.5874999999999999,0.6756944444444445,0.0170884138786749,0.6438276036265986,0.8452577508713998,0.5208333333333334
bcnher,5,rated,495,0.4867986738681793,0.4390277777777778,0.032016223703724256,0.7045833333333333,0.9111111111111111,0.575,0.7518055555555555,0.007071067811865481,0.7749845073331956,0.8593023255813954,0.7125
barswa,5,rated,495,0.38960886001586914,0.5865625,0.02499426052944114,0.6974961259277384,0.7769812823576264,0.6458333333333333,0.7878819444444445,0.041198790931632874,0.7708478146392839,0.8600732600732601,0.7
whbsho3,5,random,17,0.4185759425163269,0.5473263888888888,0.049448370045475885,0.6921850079744816,0.8261102193686463,0.5958333333333333,0.6373263888888889,0.00937898577823821,0.6581781376518219,0.7260826771653544,0.6166666666666667
bcnher,5,random,495,0.46202564239501953,0.4993402777777778,0.00790584665076624,0.6216319165998396,0.6732612781954888,0.5791666666666666,0.7995486111111111,0.06201915726657006,0.6571642910727682,0.7390124796527401,0.5916666666666667
barswa,5,random,495,0.3835768401622772,0.4890277777777778,0.01885618083164131,0.6693181818181818,0.7025,0.6416666666666666,0.7784027777777778,0.020525738509442906,0.7537708927843457,0.800708475465757,0.7124999999999999
whbsho3,5,diverse,17,0.4074746072292328,0.5697916666666667,0.015026019100214128,0.5753251563146772,0.6624525916561315,0.5166666666666666,0.7646527777777778,0.015222437650543676,0.496805571543686,0.46329325975561686,0.5458333333333334
bcnher,5,diverse,495,0.42729488015174866,0.499375,0.038989082240424924,0.6833146696528555,0.7106280193236715,0.6583333333333333,0.67125,0.029266363999109906,0.6384691491275409,0.7406462585034013,0.5625
barswa,5,diverse,495,0.44699394702911377,0.43850694444444444,0.0457164175892136,0.6343757390529208,0.6550620710926054,0.6208333333333333,0.6097569444444444,0.001424034489889562,0.6163518216750157,0.7072565116043377,0.5791666666666666
